Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivisionName,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,9f4b315f-5e0e-4f7e-9be6-11b7eeef600d,"Sample - Routine, regular",Water,Surface water,,1990-11-06,00:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,0004fa41-5c33-4eae-b279-f9222a8661e1,4.7,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,7860d324-161d-4cfa-8f79-d216abb1efcb,"Sample - Routine, regular",Water,Surface water,,2023-04-25,11:45:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,0655988c-d800-4b2a-aa51-2b998225ee5a,4.80,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,18d39d32-7bcd-4999-a096-d56ff7c339de,"Sample - Routine, regular",Water,Surface water,,1990-11-06,06:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,084de7ab-adb7-4aae-8036-3ae50557b13b,4.6,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,c78cc63f-e304-435a-96ac-00cf4a34aae4,"Sample - Routine, regular",Water,Surface water,,1990-11-05,12:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,09697ab3-212d-4329-ade5-5a12ca7ed5de,4.5,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,9e7b2009-5c7a-4d86-9fbd-957524da4814,"Sample - Routine, regular",Water,Surface water,,2023-04-28,10:20:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,28be654e-1fbc-47df-977f-4cd8b32183f0,4.50,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0163aa6d-b206-4711-829c-2475321cc6f5,"Sample - Routine, regular",Water,Surface water,,2022-02-24,18:00:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,2d7ecc43-1080-42ef-9715-04003ee2fc65,3.70,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,b478aa80-c821-41e5-bd02-d6c4cef34135,"Sample - Routine, regular",Water,Surface water,,2018-08-22,13:00:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,3008f198-af4a-458d-981e-443d6bc98352,2.47,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.03,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2018-09-06,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,bf54040b-8d57-4d47-a433-d1666c7a0478,"Sample - Routine, regular",Water,Surface water,,2021-11-12,14:37:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,3213e98f-1e08-4e71-8cc2-794861771f3e,3.200,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,38c87ae5-5de4-4cb7-b530-d21a8e3b8d58,"Sample - Routine, regular",Water,Surface water,,2017-02-22,10:40:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,3bfe7215-6bfc-4640-945f-7a3304171a39,3.42,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.01,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2017-04-15,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,822e4aa9-3663-488d-bed5-da11f3aa9717,"Sample - Routine, regular",Water,Surface water,,2016-08-24,09:30:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,55729366-9e9a-4b33-bc19-6331d98859d7,3.50,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.01,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2016-11-09,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,186475e3-a452-4f43-9af8-2a95623131ed,"Sample - Routine, regular",Water,Surface water,,1990-11-05,06:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,625038a1-d68f-4680-b3c0-7219b99713be,4.6,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a61e9052-9e42-4252-9aab-ee0ae0f5dcd7,"Sample - Routine, regular",Water,Surface water,,1991-06-20,06:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,685102ea-c9c3-4286-883e-3c84a46fc40d,5.3,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,1bbcb279-1b43-4b30-ae9a-8f405ba41867,"Sample - Routine, regular",Water,Surface water,,2015-02-26,11:15:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,7a20741e-71c3-45be-8b45-9e158f9a2e4a,3.35,ug/L,,Accepted,,Actual,"Report level code updated Oct., Nov. 2015. Reference: NWQL TM 2015.02 (RLC: LT-MDL => DLDQC)",,,,,Detection limit by DQCALC,0.014,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2015-03-07,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2e3d7b1f-58d8-41c1-9b94-bb1515a915d4,"Sample - Routine, regular",Water,Surface water,,2019-04-29,16:30:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,83634eed-08ad-4f1b-8428-39f17109ad30,3.08,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.03,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2019-05-09,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,09a38e93-5dc0-47c6-815e-6ddbe7dbc4d6,"Sample - Routine, regular",Water,Surface water,,1991-06-19,12:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,90d7c587-a503-4ee3-aa88-eae533cc23bb,5.3,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,3fb4fbb8-9491-436b-aeb0-f127695c4d08,"Sample - Routine, regular",Water,Surface water,,2020-08-19,15:30:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,9b56c2d2-23a1-47bc-877c-79d0da577883,2.70,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,c204b8f1-cafa-4cfa-96ac-6972b7494273,"Sample - Routine, regular",Water,Surface water,,2023-02-22,19:44:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,a1858bb3-830b-4562-9165-e20573ce8125,4.00,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,33a27022-405f-432b-bc15-aaeb5cd40a31,"Sample - Routine, regular",Water,Surface water,,2022-11-17,12:15:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,a1ecf22d-767a-4949-83df-dbbe6c9de0e4,3.50,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a5c2f07b-9f11-4197-bd21-242c8479661f,"Sample - Routine, regular",Water,Surface water,,2021-08-25,08:15:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,a511d680-6525-4e38-bac6-f5f23dcdff39,3.20,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2fc4cc60-7145-46b9-9e31-444b330c33f4,"Sample - Routine, regular",Water,Surface water,,2021-03-23,11:30:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,c21ec6b2-31a5-4dff-9d9d-ea1d62d9016d,3.300,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2c3f0dbe-9aaa-4836-89a0-1f1acea82d74,"Sample - Routine, regular",Water,Surface water,,1990-11-06,18:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,c9b2d796-7136-4b5a-8bc3-c1b576449273,5.8,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,209e111c-9ad9-426c-9263-af20f1673124,"Sample - Routine, regular",Water,Surface water,,1991-06-19,06:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,cb12b8f5-b6fa-4367-8f0f-b94915263382,5.4,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a74330e9-487f-4619-ae45-d0ab7f3f8eac,"Sample - Routine, regular",Water,Surface water,,1991-06-20,00:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,d59c173c-665a-42a0-858b-780129f0197b,5.4,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,7fcc2ee6-8d3d-4026-91df-bc471a04d072,"Sample - Routine, regular",Water,Surface water,,1990-11-06,12:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,d5a12540-34d2-4a84-b0ee-ab19b1d52750,4.2,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,3f874184-01ae-45b4-879e-ce4dda5fe874,"Sample - Routine, regular",Water,Surface water,,1991-06-19,18:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,d807abb0-73b4-444b-b12c-49ecd5e3285e,5.4,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,262f62bc-d66c-43f6-b8c1-985b88d99b2b,"Sample - Routine, regular",Water,Surface water,,2023-04-26,12:06:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,da244df8-5753-44fa-a404-cc8e4debebf3,4.60,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,29fa5487-cbfb-4567-9c5a-e2c01cd4bec8,"Sample - Routine, regular",Water,Surface water,,1991-06-19,00:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,dfdfa56c-4ebf-4136-94c2-01663a1f27fd,5.2,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,41e53042-af5e-4adf-afc1-e375dc7f8341,"Sample - Routine, regular",Water,Surface water,,1991-06-18,18:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,ebff86e2-da6f-4b14-93d7-4117f3b953a0,5.4,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a31fc723-b28e-42df-92d9-5414c188ed8a,"Sample - Routine, regular",Water,Surface water,,2023-02-22,19:55:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,ec4d6bbb-bdae-4a07-8331-2dee0891c1ff,4.1,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a50f753c-6957-4009-b7b9-5d6fbc24e812,"Sample - Routine, regular",Water,Surface water,,2021-03-19,15:40:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,ed3042ad-a3e8-4aab-bf26-2849b5678f60,3.30,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0233876a-055e-42b2-9b11-7e8b3257179c,"Sample - Routine, regular",Water,Surface water,,1991-06-18,12:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,f88fe5fc-e45f-4bad-a945-d8936626aa65,5.3,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
